CODPROV,CODIGO,PRODUCTO,PRESENTACION,STOCK,MAYORISTA,CONTADO,MINORISTA,PRECIO COMPRA,RUBRO,SUBRUBRO
01614FU,0003596RPM,/DEFLECTOR P/VENTANILLA RENAULT SANDERO DUSTER OROCH LOGAN 07/12 DELANTERO,UNIDADES,3,34727,37300,"52219,49",24805,DEFLECTORES,NINGUNO
743,747,20 PLAQUETA MODULO RGB 3 LED CON CONTROLADOR,UNIDADES,0,"1257,8","2439,37","3415,12","635,25",ELECTRICIDAD,NINGUNO
,7891281001892,ACEITE CASTROL 2T ONE SHOT POMO 100ML (MOTO),UNIDADES,-3,1890,1900,2660,189,ACEITES Y LUBRICANTES,NINGUNO
,7793921000268,ACEITE ELF P/CAJA DE CAMBIO AUTOMATICA ELFMATIC 1L,UNIDADES,0,"13863,2",14000,19600,1333,ACEITES Y LUBRICANTES,NINGUNO
,7793921204475,ACEITE ELF TAXIGAS 20W50 1L,UNIDADES,0,11200,13000,18200,8000,ACEITES Y LUBRICANTES,NINGUNO
HX8 1LT,0006890RPM,ACEITE HELIX HX8 5W 40 SINTETICO 1 LT,UNIDADES,0,27200,"28000,01","39200,01",16000,ACCESORIOS,NINGUNO
ULTRA X 1,0007062RPM,ACEITE HELIX ULTRA X 5W 30 SINTETICO 1 LT,UNIDADES,0,29000,30000,42000,20000,ACCESORIOS,NINGUNO
MOTO4CRUISE/1,0005200RPM,ACEITE MOTO CRUISE 20W50 1LT ELF,UNIDADES,0,9000,9500,"13300,01",6000,ACCESORIOS,NINGUNO
,7791460401331,ACEITE SHELL HELIX HX3 GNC 20W50 1L,UNIDADES,0,9750,10400,14560,6500,ACEITES Y LUBRICANTES,NINGUNO
,7791460401737,ACEITE SHELL HELIX HX5 15W40 1L,UNIDADES,0,12800,14000,19600,8000,ACEITES Y LUBRICANTES,NINGUNO
,7798038701251,ACEITE TOTAL QUARTZ 4X4 15W40 1L,UNIDADES,0,12400,12800,17920,8000,ACEITES Y LUBRICANTES,NINGUNO
TS022900TL,0006770RPM,ACONDICIONADOR DE CUEROS TRIM LEATHER TOXIC SHINE DE BASE ACUOSA 600 ML,UNIDADES,1,"11485,32",12300,"17219,99","8203,8",COSMETICA,NINGUNO
7258,7258,ACONDICIONADOR DE NEUMATICOS 500 CC ALL DETAIL,UNIDADES,0,"262,5","517,44","724,42",175,COSMETICA,NINGUNO
6005,0006883RPM,ACOPLE FOAM LANCE BLACK DECKER,UNIDADES,0,6300,7000,9800,3500,COSMETICA,NINGUNO
6006,0006884RPM,ACOPLE FOAM LANCE GAMMA,UNIDADES,0,6300,7000,9800,3500,COSMETICA,NINGUNO
6004,0006882RPM,ACOPLE FOAM LANCE KARCHER LINEA K,UNIDADES,0,6300,7000,9800,3500,COSMETICA,NINGUNO
